"first(Company, false)","first(SpecificBeanOrigin, false)",max(Rating)
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",4.0
Manufaktura Czekolady,Johe,3.75
Original Hawaiin Chocolate Factory,"Hawai'i, Kona Grand Cru E.",3.0
Xocolat,Hispaniola,3.0
Zotter,Raw,3.75
Emily's,Patanemo,3.5
Blanxart,"Congo, Grand Cru",3.5
Bellflower,"Kakao Kamili, Kilombero Valley",3.5
Heirloom Cacao Preservation (Mindo),"Pinchincha, Mindo, Coop Nueva Esper., 2015",3.5
Peppalo,Dominican Republic,3.0
Urzi,"Sur del Lago, Merida",3.25
Hacienda El Castillo,Don Homero- Cerecita Valley,3.0
Noir d' Ebine,Venezuela,3.0
Animas,Alto Beni,3.5
Pinellas,Wampusirpi Region,2.5
Silvio Bessone,Maya Belize,3.25
Mars,"Matina 1-6, prototype",3.5
Oakland Chocolate Co.,Jamaica,2.5
Dean and Deluca (Belcolade),Madagascar,3.0
"Chocolate Tree, The",Maranon,3.75
Malagos,"Davao, Mt. Talamo foothills",3.5
Ara,Madagascar,3.0
Sibu Sura,Peru,2.5
Malagasy (Chocolaterie Robert),Sambirano 2006,3.5
Indi,Honduras,3.0
Spagnvola,AgroCriso Plantation,3.25
Suruca Chocolate,Venezuela,3.0
Machu Picchu Trading Co.,Peru,2.25
Orquidea,Peru,3.0
Sirene,Wild Bolivia,3.75
Theo,Congo w/ nibs,3.5
Bronx Grrl Chocolate,Dominican Republic,2.75
Hachez,Arriba,2.5
Artisan du Chocolat (Casa Luker),"Orinoqua Region, Arauca",2.75
Black River (A. Morin),Blue Mountain Region,2.75
Majani,Ecuador,2.0
Sibu,Oro,3.5
Santander (Compania Nacional),Colombian 2008,4.0
Stella (aka Bernrain),"Bahia, Agri-Forestal Plantation, 2010",3.25
Danta,Los Ujuxtes,4.0
iQ Chocolate,"Satipo region, white label",3.0
Anahata,Elvesia,3.0
East Van Roasters,Peru,3.75
Jordis,Madagascar,2.75
Matale,"Malekula P., 2013",4.0
Pomm (aka Dead Dog),"La Red, 2011",2.75
Aequare (Gianduja),"Los Rios, Quevedo, Arriba",3.0
Compania de Chocolate (Salgado),Sur del Lago,3.75
Caribeans,"Antigua, Special Reserve",3.5
Cello,Ecuador,3.0
Beehive,"Brazil, Batch 20316",2.75
Black Mountain,La Red,3.0
Republica del Cacao (aka Confecta),Esmeraldas,3.75
Sprungli (Felchlin),Alto Beni,3.0
Chloe Chocolat,Blend No. 1,3.5
Molucca,La Red,3.25
Naive,Trinidad & Tobago,3.75
Arete,San Juan,4.0
Cacao Prieto,"Criollo, Dominican Republic",3.75
Tocoti,"Wild Bolivian, Jungle Love",3.0
Middlebury,Maya Mountain,3.75
Eau de Rose,Tumaco,3.25
Zak's,"Papua New Guinea, Batch 2",3.5
Heirloom Cacao Preservation (Millcreek),"Los Rios, Hacienda Limon, Orecao, 2015",3.5
Whittakers,Ghana,2.5
Chocablog,Ecuador,3.25
Rogue,"La Masica, Batch 1, FHIA Research Center",4.0
Madecasse (Cinagra),Madagascar,4.0
S.A.I.D.,Malgascio,3.5
Cacao Barry,Grand 'Anse,3.5
Creo,"heirloom, Arriba Nacional",3.75
Rain Republic,Suchitepequez E.,2.75
Captain Pembleton,"Saidor Estate, Madang P.",3.75
Guittard,"Epique, Blend No. 49",3.75
Georgia Ramon,Akesson P.,4.0
La Chocolaterie Nanairo,"Lumas, 2015 Harvest, Batch 6, brown sugar",3.0
Dark Forest,Bolivia,3.25
Marigold's Finest,Cacao Nib Crunch,3.25
Marou,"Tan Phu Dong Island, Heart of Darkness",3.75
Bowler Man,Maya Mountain,2.75
Coppeneur,"Ecuador, Puristique",3.75
Kto,San Martin,3.25
Choocsol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",3.25
L'Amourette,Rugoso,3.5
Belcolade,Costa Rica,3.5
Kyya,Uganda,3.0
Sol Cacao,"Ecuador, Batch 1",3.5
Condor,Camino Verde,3.5
La Maison du Chocolat (Valrhona),"Cuana, 2013",3.75
Lilla,Madagascar,3.0
C-Amaro,Cuba,3.5
Cacaosuyo (Theobroma Inversiones),Piura,3.25
Chocolate Con Amor,Wild Bolivian,3.25
Cloudforest,"Camino Verde P., Balao, Guayas, 2014",3.5
Indaphoria,La Red,3.25
Omanhene,Ghana,2.75
Callebaut,Grenade,2.75
Chaleur B,Uganda,2.75
Solkiki,"Maranon, Fortunato No. 4",2.75
Dolfin (Belcolade),Africa,3.0
Cacao Store,Madagascar,3.5
Minimal,"Acul-du-Nord, 2015",3.5
SRSLY,Dominican Republic,3.0
Eclat (Felchlin),"Maranon, Good & Evil, w/ nibs",2.75
Castronovo,"Maya Mtn, Batch 454, Heirloom",4.0
Heirloom Cacao Preservation (Zokoko),"Alto Beni, Upper Rio Beni, 2015",4.0
Monsieur Truffe,Papaua New Guinea,3.25
El Rey,San Joaquin,3.75
Momotombo,Matagalpa,3.25
Bright,Somia Plantation,3.5
Dalloway,"Dominican Republic, batch 7",2.75
Bakau,"Bambamarca, 2015",3.5
Mission,"Fazenda Camboa, Bahia",3.75
Treehouse,Conacado,3.0
Woodblock,"Maranon, Cajamarca",4.0
Chuao Chocolatier,Choroni,3.0
Cote d' Or (Kraft),Sensations Intense,1.0
Domori,Hacienda Victoria,4.0
Dole (Guittard),"O'ahu, N. Shore, Waialua Estate",3.75
Frederic Blondeel,Costa Rica,3.5
Guido Castagna,Arriba,3.25
Shark's,Hilo,2.5
Chocolate Alchemist-Philly,"\"Tumbes, \"\"Zarumilla\"\"\"",2.5
Charm School,Maya Mtn,3.25
Ethereal,Belize,3.75
DeVries,Bolivian,3.5
Cacao de Origin,Hacienda la Trinidad,3.25
Mana,Ecuador,3.75
Bar Au Chocolat,Bahia,4.0
Manifesto Cacao,Colombia,2.75
Garden Island,"Kaua'I, Alea Estate +world",2.5
TCHO,West Africa,3.25
Tobago Estate (Pralus),"Roxborough, Tobago",4.0
De Mendes,"Nativo, Varzea",3.5
Desbarres,"Kilombero, batch 41",2.5
Dick Taylor,Lanquin Estate,3.75
Fossa,"Akesson's E., Sambirano V.",3.75
Parliament,Kilombero Valley,3.5
Kiskadee,"La Red, Guanconjeco",3.0
Monarque,Oko Caribe,3.5
Upchurch,"Madagascar, Sassy Bar",3.25
Breeze Mill,Jamaica,3.0
Burnt Fork Bend,Trinidad,3.5
Duffy's,"Rio Dulce, Xoco",4.0
Durci,"Maranon, Joya Rara",4.0
Erithaj (A. Morin),Ben Tre,3.25
Wellington Chocolate Factory,Conacado,3.5
Friis Holm,"Rugoso, Bad Fermentation",3.5
Green Bean to Bar,Madagascar,3.5
Michel Cluizel,"Chiapas, Mokaya P.",4.0
De Villiers,Bundibugyo District,3.0
Dormouse,Non Pariel Estate,2.75
Fearless (AMMA),"Monte Alegre, D. Badaro, Raw, Organic",2.75
Szanto Tibor,Nacional,3.75
Metropolitan,South America,3.5
Cacaoyere (Ecuatoriana),Amazonia,3.5
Choco Dong,"Mekong Delta, early 2014 Harvest",3.5
Robert (aka Chocolaterie Robert),Madagascar,3.25
Chocolats Privilege,Xoconusco,2.5
Dandelion,"Zorzal Reserva, 2015 H., Kerchner",3.75
Quetzalli (Wolter),"Mexico, Lot 28022016",3.0
Raaka,Amazon Basin Blend,3.5
Cacao Hunters,Macondo,3.75
Neuhaus (Callebaut),Papua New Guinea,3.75
Christopher Morel (Felchlin),"Maranon Canyon, Fortunato No. 4",3.75
Bouga Cacao (Tulicorp),"El Oro, Hacienda de Oro",3.25
Grenada Chocolate Co.,Grenada,3.25
Obolo,Pangoa,3.75
Acalli,"Chulucanas, El Platanal",3.75
Ah Cacao,Tabasco,3.0
Cacao de Origen,Chuao,3.75
ChocoReko,Patanemo,3.0
Svenska Kakaobolaget,Sri Lanka,2.75
Franceschi,Choroni,3.75
Hotel Chocolat (Coppeneur),Trinidad,3.5
Kaoka (Cemoi),Noir,2.75
Luker,Selva,3.5
Caoni (Tulicorp),Esmeraldas,3.5
Chocovic,Xoconusco,3.5
Omnom,"Kakao Kamili, Kilombero Valley",3.75
Indah,India (south),2.5
Lake Champlain (Callebaut),Tanzania,2.5
Martin Mayer,Alto Beni,3.25
Beau Cacao,"Asajaya E, NW Borneo, b. #132/4500",3.25
Madre,Guadalcanal,3.5
Sublime Origins,Sambirano,3.25
Videri,Dominican Republic,3.75
organicfair,Maya Mountain,3.0
Laia aka Chat-Noir,"Madagascar, Batch 59/100",3.75
Marana,Piura,3.0
Pascha,Peru,2.75
Adi,Vanua Levu,3.5
Heirloom Cacao Preservation (Manoa),"Maunawili, O'ahu, Agri Research C., 2015",3.5
Mutari,"Kokoa Kamili, batch 1 SRB",3.0
Tabal,Costa Rica,3.0
Bisou,"Nicaragua, American style",3.25
Lindt & Sprungli,Excellence (US Version),3.0
Debauve & Gallais (Michel Cluizel),Papua New Guinea,3.75
Hoja Verde (Tulicorp),Arriba,3.5
Blue Bandana,"Akesson's E., Sambirano V.",3.75
Cemoi,Equateur,2.75
Jacque Torres,Trinatario Treasure,2.0
Zart Pralinen,"Millot P., Ambanja",3.5
Idilio (Felchlin),"Chuao, Venezuela",4.0
Millcreek Cacao Roasters,Ecuador,3.5
Nova Monda,"La Patriota, cacao Indio, purple label",3.25
Oialla by Bojessen (Malmo),"Sylvestre, Oialla",3.5
Santome,Sao Tome,2.75
Palette de Bine,Lachua,3.75
Shark Mountain,Jamaica,3.5
Bahen & Co.,Houseblend,3.5
Potomac,"Oko Caribe, Duarte Province, 2016 H.",3.75
Escazu,Rio Caribe,3.5
Olivia,Carribean-Raw,3.0
Timo A. Meyer,"Belize, med roast",3.75
Un Dimanche A Paris,Dominican Republic,3.75
Askinosie,Mababa,3.75
Harper Macaw,"Vale do Juliana, w/ nibs",3.5
Nanea,Criollo Blend,3.5
Ocho,Sang Yum Coop,3.5
Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007",3.0
Heirloom Cacao Preservation (Fruition),"Cota Brus, Terciopelo, 2015",3.5
Nugali,Fazenda Leolinda,3.5
Salgado,Bahia Superior,3.5
Chocolate Conspiracy,Peru,2.75
Chocovivo,Tabasco,2.5
Naï¿½ve,Nicaragua,3.25
Stone Grindz,"Ecuador, Midnight Dark",3.5
Marsatta,Dominican Republic,2.5
Ocelot,Virunga,4.0
Bernachon,Nature,2.75
Heirloom Cacao Preservation (Guittard),"Alto Beni, Upper Rio Beni, 2014",3.75
Muchomas (Mesocacao),Nicaragua,3.5
Tablette (aka Vanillabeans),Colombia,3.25
The Barn,Peru,3.0
Kerchner,"La Red, Project Reserva, Guaconejo",3.75
Sacred,Midnight,3.25
Amazona,"LamasdelChanka, San Martin, Oro Verde coop",3.5
Ki' Xocolatl,Dark,2.0
Montecristi,Manabi,3.5
Pitch Dark,Tenor,3.5
Sjolinds,Ghana,3.0
Zokoko,Guadalcanal,3.75
Batch,"Dominican Republic, Batch 3",3.75
Love Bar,Nicaragua,2.0
Noble Bean aka Jerjobo,Ghana,3.25
Vanleer (Barry Callebaut),Manhattan,2.75
Alexandre,"Winak Coop, Napo",3.5
Haigh,South America and Africa,3.0
Tan Ban Skrati,"Paramaribo, batch 20160043-01",3.25
Xocolla,"Sambirano, batch 170102",2.75
hexx,Tanzania,3.25
Coleman & Davis,Sambirano,3.0
Honest,"Ecuador, w/ nibs",2.5
Nuance,"Ghana, 2013",3.75
Chocosol,"Chiapas, Lacandon Jungle, Oaxacom Mtn",3.25
Durand,Madagascar,2.75
Heilemann,Peru,2.75
L.A. Burdick (Felchlin),Peru,4.0
Moho,"Toledo District, w/ nibs",3.25
Valrhona,"Piura, Illanka, Quemazon",4.0
Amatller (Simon Coll),Ghana,3.0
Feitoria Cacao,Blue Mountain,3.0
To'ak (Ecuatoriana),Manabi,3.25
Vicuna,Palos Blancos,3.25
Somerville,Nicaragua,3.5
Habitual,Papua New Guinea,3.5
Vao Vao (Chocolaterie Robert),Madagascar,3.25
Maverick,Maya Mountain,3.5
Soul,Dominican Republic,3.5
Chocolate Makers,Tres Hombres,3.75
Lillie Belle,Perfect Illusion,3.75
Menakao (aka Cinagra),Madagascar,2.5
Green & Black's (ICAM),Dark,2.5
Night Owl,Peru,3.5
Patric,Signature Blend,4.0
Grand Place,"Ben Tre, Dong Nai",3.0
Carlotta Chocolat,Arauca,3.5
Mast Brothers,Guatemala,3.75
Metiisto,"Fazenda Sempre Firme P., Bahia",3.5
Nibble,Patanemo,3.0
Olive and Sinclair,Dominican Republic prototype,3.0
Amano,Morobe,4.0
Cacao Market,"Jutiapa, lot 050916D",3.5
Cao,Porcelana,3.25
Wilkie's Organic,Amazonas,3.25
Cacao Atlanta,Tumbes,2.75
Goodnow Farms,"Almendra Blanca, batch 1004",3.25
Roasting Masters,"La Dorado, light roast",3.25
Ethel's Artisan (Mars),"Peru, Madagascar",2.75
Pierre Marcolini,"Haut Penja, w/ nibs",4.0
Chchukululu (Tulicorp),Arriba,3.0
DAR,"Venezuela, batch 122",3.25
Kah Kow,"Rizek Cacao, Cibao Valley, Domin. Rep.",3.5
Ranger,"San Martin, Batch 2",3.5
Solomons Gold,Solomon Island,3.25
Park 75,South America,3.5
Q Chocolate,Brazil,3.5
Altus aka Cao Artisan,Momotombo,3.25
Dulcinea,Dominican Republic,3.25
El Ceibo,"Alto Beni, Covendo Region",3.75
Emerald Estate,Emerald Estate,3.25
Loiza,Puerto Rico,2.5
Vintage Plantations,San Martin,3.0
Alain Ducasse,Trinite,3.0
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",4.0
StRita Supreme,"Samar, East Visayas region",2.75
Undone,Matagalpa,3.0
Ohiyo,"San Juan Estate, Gran Couva",3.0
Fresco,"Maranon, #228, MR, SC",4.0
Map Chocolate,"Ben Tre, Surprise Valley",3.5
Choco Del Sol,Maya Mountain w/ nibs,3.25
Pump Street Bakery,"Chocoan Rainforest, Teroro Escondido, ESM",3.5
Rozsavolgyi,Sur del Lago,3.5
Damson,Robson Estate,3.5
Finca,Puerto Rico,3.25
Glennmade,"Toledo District, 2015 Harvest",3.5
Mesocacao,El Salvador,3.5
Nahua,"Costa Rica, Oscuro",3.0
Rococo (Grenada Chocolate Co.),"Gru Grococo, St. Andrews",3.5
Nathan Miller,Peru,3.5
Ritual,"Camino Verde P., Balao, 2015 harvest, batch8",4.0
Tsara (Cinagra),"Ambanja, Tsara Valley",3.5
Edelmond,Porcelana,3.0
Fruition,"Wild Bolivian, Batch 2",4.0
Bonnat,Selva Maya,4.0
Enric Rovira (Claudio Corallo),Terreiro Velho P.,3.25
Forever Cacao,Rio Eni,2.75
La Pepa de Oro,Vinces,3.25
La Oroquidea,Peruvian Amazon,2.5
Manoa,Markham Valley,3.75
Bittersweet Origins,Ghana,3.75
French Broad,"Norandino, batch 161208",3.5
Confluence,"Tien Giang, 2015, batch 10-2-16",2.75
Meadowlands,Bolivia,3.5
Hummingbird,Lam Dong,3.75
Forteza (Cortes),Dominican Republic,2.75
twenty-four blackbirds,Oko Caribe,3.5
Two Ravens,Peru,3.0
Cacao Sampaka,"Mahali, Kasai",4.0
K'ul,"Kafupbo, Petit Bourg, De Borgnes",3.75
ENNA,"Wampusirpi, batch 007",3.25
Maglio,Africa,3.75
Pangea,Matasawalevu,3.0
Shattel,Tingo Maria,3.25
