"first(Company, false)",avg(Rating)
Britarev,3.25
Heirloom Cacao Preservation (Brasstown),3.25
Theobroma,3.25
Ambrosia,3.25
Emily's,3.25
Urzi,3.25
Eau de Rose,3.25
Chocablog,3.25
Marigold's Finest,3.25
Choocsol,3.25
Sol Cacao,3.25
Cacaosuyo (Theobroma Inversiones),3.25
Cacao Store,3.25
Monsieur Truffe,3.25
Woodblock,3.25
Charm School,3.25
DeVries,3.25
Cacao de Origin,3.25
Robert (aka Chocolaterie Robert),3.25
Adi,3.25
Tan Ban Skrati,3.25
Chocosol,3.25
To'ak (Ecuatoriana),3.25
Vicuna,3.25
Metiisto,3.25
Roasting Masters,3.25
Kah Kow,3.25
Solomons Gold,3.25
Dulcinea,3.25
El Ceibo,3.25
Glennmade,3.25
Enric Rovira (Claudio Corallo),3.25
La Pepa de Oro,3.25
ENNA,3.25
Shattel,3.25
Scharffen Berger,3.2205882352941178
Willie's Cacao,3.21875
Zak's,3.2083333333333335
Shark Mountain,3.2083333333333335
Mesocacao,3.2083333333333335
Caribeans,3.2
Republica del Cacao (aka Confecta),3.2
Dick Taylor,3.1923076923076925
Mars,3.1875
Bright,3.1875
Michel Cluizel,3.175
French Broad,3.175
Guittard,3.1704545454545454
Solstice,3.1666666666666665
Original Beans (Felchlin),3.1666666666666665
Brazen,3.1666666666666665
Erithaj (A. Morin),3.1666666666666665
Zart Pralinen,3.1666666666666665
Q Chocolate,3.1666666666666665
Compania de Chocolate (Salgado),3.15
Dark Forest,3.15
Burnt Fork Bend,3.15
Felchlin,3.142857142857143
Izard,3.125
Kakao,3.125
hello cocoa,3.125
Malie Kai (Guittard),3.125
Blanxart,3.125
Silvio Bessone,3.125
Malagasy (Chocolaterie Robert),3.125
Coppeneur,3.125
L'Amourette,3.125
Bakau,3.125
Upchurch,3.125
Choco Dong,3.125
Raaka,3.125
Beau Cacao,3.125
Ocho,3.125
Night Owl,3.125
Mast Brothers,3.125
Choco Del Sol,3.125
Pump Street Bakery,3.125
Cravve,3.107142857142857
Chocovic,3.09375
Akesson's (Pralus),3.0833333333333335
Belyzium,3.0833333333333335
Spagnvola,3.0833333333333335
Noble Bean aka Jerjobo,3.0833333333333335
Goodnow Farms,3.0833333333333335
Ranger,3.0833333333333335
Artisan du Chocolat,3.078125
Laia aka Chat-Noir,3.075
Isidro,3.0625
Hogarth,3.0625
Luker,3.0625
Tablette (aka Vanillabeans),3.0625
Guido Castagna,3.05
hexx,3.05
twenty-four blackbirds,3.0416666666666665
Kto,3.0357142857142856
Madre,3.022727272727273
Tejas,3.017857142857143
Daintree,3.0
Malmo,3.0
Taza,3.0
Rancho San Jacinto,3.0
Starchild,3.0
Mayacama,3.0
Original Hawaiin Chocolate Factory,3.0
Xocolat,3.0
Peppalo,3.0
Noir d' Ebine,3.0
Indi,3.0
Orquidea,3.0
Stella (aka Bernrain),3.0
Anahata,3.0
Sprungli (Felchlin),3.0
Molucca,3.0
Middlebury,3.0
S.A.I.D.,3.0
Lilla,3.0
Indaphoria,3.0
Treehouse,3.0
Chuao Chocolatier,3.0
Kiskadee,3.0
Breeze Mill,3.0
Ah Cacao,3.0
ChocoReko,3.0
Martin Mayer,3.0
Sublime Origins,3.0
Lindt & Sprungli,3.0
Millcreek Cacao Roasters,3.0
Nova Monda,3.0
Naï¿½ve,3.0
The Barn,3.0
Sacred,3.0
Haigh,3.0
Coleman & Davis,3.0
Moho,3.0
Grand Place,3.0
DAR,3.0
Emerald Estate,3.0
Vintage Plantations,3.0
Edelmond,3.0
Two Ravens,3.0
Maglio,3.0
Pangea,3.0
Hotel Chocolat (Coppeneur),2.973684210526316
Violet Sky,2.95
Santander (Compania Nacional),2.95
Bahen & Co.,2.95
Meadowlands,2.95
Pitch Dark,2.9444444444444446
Claudio Corallo,2.9375
Belcolade,2.9375
Olive and Sinclair,2.9375
Dean and Deluca (Belcolade),2.9166666666666665
Tocoti,2.9166666666666665
Momotombo,2.9166666666666665
Marana,2.9166666666666665
Habitual,2.9166666666666665
Vao Vao (Chocolaterie Robert),2.9166666666666665
Cao,2.9
C-Amaro,2.892857142857143
Chocolate Con Amor,2.892857142857143
El Rey,2.892857142857143
Kallari (Ecuatoriana),2.875
Hacienda El Castillo,2.875
Suruca Chocolate,2.875
Theo,2.875
iQ Chocolate,2.875
Aequare (Gianduja),2.875
Mana,2.875
Quetzalli (Wolter),2.875
Sjolinds,2.875
Amatller (Simon Coll),2.875
Chchukululu (Tulicorp),2.875
Undone,2.875
Ohiyo,2.875
Damson,2.875
Choklat,2.85
organicfair,2.85
Hoja Verde (Tulicorp),2.85
Altus aka Cao Artisan,2.85
Hotel Chocolat,2.8333333333333335
Black Mountain,2.8333333333333335
Grenada Chocolate Co.,2.8333333333333335
Caoni (Tulicorp),2.8333333333333335
Davis,2.8125
Ara,2.8125
Mutari,2.8125
Wilkie's Organic,2.8125
Escazu,2.8
Rozsavolgyi,2.7857142857142856
Chokolat Elot (Girard),2.75
Seaforth,2.75
Summerbird,2.75
Baravelli's,2.75
Chuao Chocolatier (Pralus),2.75
Pura Delizia,2.75
Mindo,2.75
Bronx Grrl Chocolate,2.75
Artisan du Chocolat (Casa Luker),2.75
Black River (A. Morin),2.75
Jordis,2.75
Cello,2.75
Beehive,2.75
Rain Republic,2.75
Bowler Man,2.75
Kyya,2.75
Omanhene,2.75
Chaleur B,2.75
Solkiki,2.75
Eclat (Felchlin),2.75
Dalloway,2.75
Manifesto Cacao,2.75
De Villiers,2.75
Fearless (AMMA),2.75
Cacaoyere (Ecuatoriana),2.75
Svenska Kakaobolaget,2.75
Kaoka (Cemoi),2.75
Tabal,2.75
Cemoi,2.75
Santome,2.75
Chocolate Conspiracy,2.75
Bernachon,2.75
Durand,2.75
Heilemann,2.75
Feitoria Cacao,2.75
Nibble,2.75
Finca,2.75
Nahua,2.75
Forever Cacao,2.75
Confluence,2.75
Forteza (Cortes),2.75
Cacao Barry,2.7
Alain Ducasse,2.7
La Chocolaterie Nanairo,2.6875
Dormouse,2.6875
Bisou,2.6875
Nathan Miller,2.6875
Vivra,2.6666666666666665
TCHO,2.65625
Pomm (aka Dead Dog),2.625
SRSLY,2.625
Pascha,2.625
Olivia,2.625
Vanleer (Barry Callebaut),2.625
Xocolla,2.625
Snake & Butterfly,2.5833333333333335
Chocolarder,2.5833333333333335
StRita Supreme,2.5833333333333335
Ethel's Artisan (Mars),2.55
Paul Young,2.5
Raw Cocoa,2.5
Mita,2.5
Cacao Arabuco,2.5
Pinellas,2.5
Oakland Chocolate Co.,2.5
Sibu Sura,2.5
Hachez,2.5
Whittakers,2.5
Chocolate Alchemist-Philly,2.5
Garden Island,2.5
Desbarres,2.5
Chocolats Privilege,2.5
Neuhaus (Callebaut),2.5
Indah,2.5
Lake Champlain (Callebaut),2.5
Vintage Plantations (Tulicorp),2.5
Chocovivo,2.5
Honest,2.5
Menakao (aka Cinagra),2.5
Green & Black's (ICAM),2.5
Cacao Atlanta,2.5
Loiza,2.5
La Oroquidea,2.5
Bouga Cacao (Tulicorp),2.375
Marsatta,2.375
Dolfin (Belcolade),2.25
Shark's,2.25
Majani,2.0
Jacque Torres,2.0
Ki' Xocolatl,2.0
Love Bar,2.0
Machu Picchu Trading Co.,1.875
Callebaut,1.875
Cote d' Or (Kraft),1.0
